DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.5038,0.5018,0.55296,0.56634,0.511,5.0,5.0,WT,Competition_Landscape,0.013379999999999947,Normal
0.5038,0.500598,0.581644,0.514981,0.48619900000000005,5.0,6.0,WT,Competition_Landscape,-0.06666300000000003,Normal
0.509601,0.5018009999999999,0.597382,0.508412,0.4969989999999999,5.0,7.0,WT,Competition_Landscape,-0.08897,Normal
0.486602,0.5032,0.6108260000000001,0.47741100000000003,0.48959900000000006,5.0,8.0,WT,Competition_Landscape,-0.13341500000000006,Normal
0.5114,0.503401,0.6277109999999999,0.46183300000000005,0.5058010000000001,5.0,9.0,WT,Competition_Landscape,-0.16587799999999986,Normal
0.510799,0.5001990000000001,0.634339,0.440468,0.5045989999999999,5.0,10.0,WT,Competition_Landscape,-0.19387099999999996,Normal
0.49860099999999996,0.5019999999999999,0.6322689999999999,0.438642,0.512801,5.0,11.0,WT,Competition_Landscape,-0.19362699999999988,Normal
0.498998,0.494599,0.6618860000000001,0.399535,0.49419900000000005,5.0,12.0,WT,Competition_Landscape,-0.2623510000000001,Failed
0.5111979999999999,0.4836,0.672572,0.3849929999999999,0.497799,5.0,13.0,WT,Competition_Landscape,-0.28757900000000003,Failed
0.504403,0.5004000000000001,0.671381,0.394156,0.503201,5.0,14.0,WT,Competition_Landscape,-0.277225,Failed
0.5167999999999999,0.498398,0.40908599999999995,0.782851,0.493598,6.0,1.0,WT,Competition_Landscape,0.373765,Hyper
0.49420000000000003,0.500399,0.447734,0.7219120000000001,0.5005999999999999,6.0,2.0,WT,Competition_Landscape,0.2741780000000001,Hyper
0.511599,0.5026,0.487835,0.643001,0.4868,6.0,3.0,WT,Competition_Landscape,0.15516600000000003,Normal
0.4988010000000001,0.5020000000000001,0.5017490000000001,0.6105860000000001,0.498,6.0,4.0,WT,Competition_Landscape,0.10883699999999996,Normal
0.48859699999999995,0.490599,0.5306339999999999,0.579356,0.49579899999999993,6.0,5.0,WT,Competition_Landscape,0.04872200000000004,Normal
0.49779899999999994,0.5038009999999999,0.5517559999999999,0.55541,0.494201,6.0,6.0,WT,Competition_Landscape,0.003654000000000046,Normal
0.5054000000000001,0.493599,0.572945,0.525393,0.5006,6.0,7.0,WT,Competition_Landscape,-0.04755200000000004,Normal
0.508201,0.500799,0.585301,0.49400299999999997,0.49700099999999997,6.0,8.0,WT,Competition_Landscape,-0.09129799999999999,Normal
0.49939900000000004,0.494399,0.590004,0.485979,0.512799,6.0,9.0,WT,Competition_Landscape,-0.10402499999999998,Normal
0.501398,0.481599,0.60162,0.46600899999999995,0.514999,6.0,10.0,WT,Competition_Landscape,-0.1356110000000001,Normal
0.495599,0.495798,0.608057,0.45401,0.49579900000000005,6.0,11.0,WT,Competition_Landscape,-0.15404699999999993,Normal
0.48860000000000003,0.491999,0.6244310000000001,0.43698400000000004,0.5004000000000001,6.0,12.0,WT,Competition_Landscape,-0.18744700000000003,Normal
0.502799,0.502398,0.632891,0.4212929999999999,0.49999799999999994,6.0,13.0,WT,Competition_Landscape,-0.21159800000000006,Normal
0.489796,0.5019979999999999,0.629992,0.41596500000000003,0.5079980000000001,6.0,14.0,WT,Competition_Landscape,-0.21402699999999997,Normal
0.49839999999999995,0.491,0.36748,0.7974039999999999,0.508,7.0,1.0,WT,Competition_Landscape,0.4299239999999999,Hyper
0.493601,0.505401,0.413907,0.7270929999999999,0.508002,7.0,2.0,WT,Competition_Landscape,0.31318599999999985,Hyper
0.49700000000000005,0.497,0.45594199999999996,0.657329,0.4998,7.0,3.0,WT,Competition_Landscape,0.2013870000000001,Normal
0.506,0.5028,0.489339,0.6165489999999999,0.4855999999999999,7.0,4.0,WT,Competition_Landscape,0.12720999999999988,Normal
0.48880099999999993,0.4917990000000001,0.49757400000000007,0.6058290000000001,0.489001,7.0,5.0,WT,Competition_Landscape,0.10825499999999999,Normal
0.5056,0.4828,0.530507,0.561766,0.48580100000000004,7.0,6.0,WT,Competition_Landscape,0.03125900000000004,Normal
