DSP,JCAD,RhoA,RhoC,TJP1,param_value,param_name,perturbation,delta,phenotype
0.501998,0.5023989999999999,0.5899000000000001,0.615422,0.501198,29.0,$RhoC_amp,WT,0.025521999999999934,Normal
0.511199,0.5101990000000001,0.58826,0.6198530000000001,0.497398,33.0,$RhoC_amp,WT,0.03159300000000009,Normal
0.5020009999999999,0.49859900000000007,0.59991,0.603178,0.494001,37.0,$RhoC_amp,WT,0.0032679999999999376,Normal
0.496799,0.5134019999999999,0.592182,0.624287,0.505,41.0,$RhoC_amp,WT,0.03210500000000005,Normal
0.493601,0.494201,0.5858669999999999,0.6146949999999999,0.49720099999999995,45.0,$RhoC_amp,WT,0.028827999999999965,Normal
0.5068,0.5014,0.593563,0.609468,0.4972,49.0,$RhoC_amp,WT,0.015905000000000058,Normal
0.4941990000000001,0.4967980000000001,0.592341,0.6196269999999998,0.4922000000000001,53.0,$RhoC_amp,WT,0.02728599999999981,Normal
0.49500199999999994,0.502003,0.583993,0.6221210000000001,0.49660099999999996,57.0,$RhoC_amp,WT,0.03812800000000016,Normal
0.490401,0.5040009999999999,0.6135959999999999,0.550757,0.501201,1.0,$RhoC_mod,WT,-0.06283899999999987,Normal
0.513999,0.49539900000000003,0.6142270000000001,0.578592,0.510399,2.0,$RhoC_mod,WT,-0.03563500000000008,Normal
0.507999,0.49279999999999996,0.6036850000000001,0.5817720000000001,0.505001,3.0,$RhoC_mod,WT,-0.02191300000000007,Normal
0.49419900000000005,0.49879700000000005,0.596175,0.605761,0.49300000000000005,4.0,$RhoC_mod,WT,0.009585999999999983,Normal
0.495,0.49799999999999994,0.584493,0.615972,0.4981979999999999,5.0,$RhoC_mod,WT,0.031478999999999924,Normal
0.511198,0.5005999999999999,0.581671,0.6260510000000001,0.504798,6.0,$RhoC_mod,WT,0.044380000000000086,Normal
0.5078,0.5028009999999999,0.5808930000000001,0.634158,0.5021990000000001,7.0,$RhoC_mod,WT,0.053264999999999896,Normal
0.49260000000000004,0.49879799999999996,0.669568,0.441289,0.496999,0.1,$RhoC_basal,WT,-0.22827900000000007,Normal
0.5038009999999999,0.509201,0.633939,0.49999,0.4958,0.30000000000000004,$RhoC_basal,WT,-0.13394900000000004,Normal
0.4913999999999999,0.4964,0.627952,0.547483,0.5069990000000001,0.5000000000000001,$RhoC_basal,WT,-0.0804689999999999,Normal
0.4932,0.492799,0.613837,0.581941,0.49719899999999995,0.7000000000000002,$RhoC_basal,WT,-0.031895999999999924,Normal
0.4992,0.5148,0.58995,0.6001639999999999,0.500599,0.9000000000000001,$RhoC_basal,WT,0.010213999999999945,Normal
0.4926000000000001,0.49819800000000003,0.5731810000000002,0.641106,0.495799,1.1,$RhoC_basal,WT,0.06792499999999979,Normal
0.49860000000000004,0.49820099999999995,0.5777209999999999,0.6501980000000002,0.48939900000000003,1.3000000000000003,$RhoC_basal,WT,0.07247700000000024,Normal
0.5090000000000001,0.49900100000000003,0.5345799999999998,0.7556510000000001,0.502,1.0,$RhoC_antagonistic,WT,0.22107100000000024,Normal
