DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.49779999999999996,0.49559999999999993,0.6259399999999999,0.5922419999999999,0.5011979999999999,40.0,3.0,WT,Escape_Threshold_RhoA,-0.033698000000000006,Normal
0.49060100000000006,0.49140000000000006,0.573176,0.610069,0.498401,40.0,4.0,WT,Escape_Threshold_RhoA,0.036892999999999954,Normal
0.5074,0.4991999999999999,0.5422799999999999,0.6364769999999998,0.4900009999999999,40.0,5.0,WT,Escape_Threshold_RhoA,0.09419699999999998,Normal
0.48940100000000003,0.5062,0.53417,0.632995,0.49460100000000007,40.0,6.0,WT,Escape_Threshold_RhoA,0.09882499999999994,Normal
0.514599,0.499999,0.5060250000000001,0.6565190000000001,0.501599,40.0,7.0,WT,Escape_Threshold_RhoA,0.15049400000000002,Normal
0.5072019999999999,0.500201,0.47486899999999993,0.6682790000000001,0.49619900000000006,40.0,8.0,WT,Escape_Threshold_RhoA,0.19341000000000014,Normal
0.501401,0.505201,0.45589100000000005,0.6828069999999999,0.5062009999999999,40.0,9.0,WT,Escape_Threshold_RhoA,0.2269159999999999,Normal
0.48679900000000004,0.5045989999999999,0.439476,0.6854740000000001,0.48719999999999997,40.0,10.0,WT,Escape_Threshold_RhoA,0.24599800000000016,Normal
0.49499899999999997,0.5118,0.43386800000000003,0.683514,0.49419900000000005,40.0,11.0,WT,Escape_Threshold_RhoA,0.24964599999999992,Normal
0.49700099999999997,0.5006010000000001,0.41777699999999995,0.699473,0.502201,40.0,12.0,WT,Escape_Threshold_RhoA,0.28169600000000006,Hyper
0.492199,0.49799899999999997,0.413649,0.6932659999999999,0.499,40.0,13.0,WT,Escape_Threshold_RhoA,0.27961699999999995,Hyper
0.498799,0.49059699999999995,0.397556,0.709314,0.494999,40.0,14.0,WT,Escape_Threshold_RhoA,0.311758,Hyper
0.49739999999999995,0.4974,0.76652,0.5100119999999999,0.49639999999999995,45.0,1.0,WT,Escape_Threshold_RhoA,-0.25650800000000007,Failed
0.490199,0.502199,0.6874559999999998,0.5610949999999999,0.5049980000000001,45.0,2.0,WT,Escape_Threshold_RhoA,-0.12636099999999995,Normal
0.508601,0.49639900000000003,0.615398,0.592514,0.5068,45.0,3.0,WT,Escape_Threshold_RhoA,-0.022884000000000015,Normal
0.499598,0.504,0.5690479999999999,0.6144950000000001,0.49899899999999997,45.0,4.0,WT,Escape_Threshold_RhoA,0.04544700000000024,Normal
0.507401,0.48980099999999993,0.541966,0.631162,0.4974009999999999,45.0,5.0,WT,Escape_Threshold_RhoA,0.08919600000000005,Normal
0.5054,0.49380199999999996,0.5158799999999999,0.6439489999999999,0.497999,45.0,6.0,WT,Escape_Threshold_RhoA,0.128069,Normal
0.496801,0.5016010000000001,0.5055040000000001,0.6464620000000001,0.5040010000000001,45.0,7.0,WT,Escape_Threshold_RhoA,0.14095800000000003,Normal
