t,DSP,TJP1,JCAD,RhoA,RhoC,delta
11.2,0.0,1.0,1.0,0.253989,0.9261820000000001,0.672193
11.3,0.0,0.999999,0.999999,0.24852400000000002,0.9291539999999999,0.6806299999999998
11.4,0.0,1.0,1.0,0.251762,0.9270499999999999,0.6752879999999999
11.5,0.0,1.0,1.0,0.253063,0.925552,0.6724890000000001
11.6,0.0,1.0,1.0,0.25087,0.9230309999999999,0.672161
11.7,0.0,0.9999990000000001,0.9999990000000001,0.250731,0.9248810000000001,0.67415
11.8,0.0,1.0,1.0,0.246959,0.925556,0.678597
11.9,0.0,1.0,1.0,0.24820299999999998,0.9261539999999999,0.677951
12.0,0.0,1.0,1.0,0.247062,0.9216660000000001,0.6746040000000001
12.1,0.0,0.999999,0.999999,0.247026,0.9220349999999999,0.675009
12.2,0.0,1.0,1.0,0.24859799999999999,0.924635,0.676037
12.3,0.0,1.000001,1.000001,0.251869,0.926294,0.6744249999999999
12.4,0.0,1.0,1.0,0.257817,0.924929,0.6671119999999999
12.5,0.0,1.0,1.0,0.257257,0.921837,0.66458
12.6,0.0,0.999999,0.999999,0.254895,0.925654,0.670759
12.7,0.0,0.9999990000000001,0.9999990000000001,0.251799,0.9248879999999999,0.6730889999999999
12.8,0.0,1.0,1.0,0.252936,0.922925,0.669989
12.9,0.0,0.999999,0.999999,0.251874,0.925859,0.6739850000000001
13.0,0.0,1.0,1.0,0.255491,0.925449,0.6699579999999999
13.1,0.0,1.0,1.0,0.259841,0.920017,0.660176
13.2,0.0,1.0000010000000001,1.0000010000000001,0.257084,0.9276260000000001,0.6705420000000001
13.3,0.0,0.9999990000000001,0.9999990000000001,0.257419,0.9281870000000001,0.670768
13.4,0.0,1.0,1.0,0.261017,0.927843,0.6668259999999999
13.5,0.0,1.0,1.0,0.256337,0.9291889999999999,0.672852
13.6,0.0,1.0,1.0,0.254401,0.931775,0.677374
13.7,0.0,1.0000010000000001,1.0000010000000001,0.254386,0.93049,0.676104
13.8,0.0,1.0,1.0,0.249689,0.9290419999999999,0.6793529999999999
13.9,0.0,0.999999,0.999999,0.248547,0.929399,0.680852
14.0,0.0,0.9999990000000001,0.9999990000000001,0.256545,0.927157,0.670612
14.1,0.0,1.0,1.0,0.25531,0.9281820000000001,0.6728720000000001
14.2,0.0,1.0,1.0,0.25289,0.9286159999999999,0.6757259999999998
14.3,0.0,0.9999990000000001,0.9999990000000001,0.25392,0.932161,0.6782410000000001
14.4,0.0,1.0,1.0,0.254838,0.931187,0.676349
14.5,0.0,1.0,1.0,0.256598,0.927349,0.670751
14.6,0.0,1.0,1.0,0.253491,0.925917,0.672426
14.7,0.0,1.0,1.0,0.254138,0.9242049999999999,0.670067
14.8,0.0,0.999999,0.999999,0.25021099999999996,0.92162,0.671409
14.9,0.0,1.0,1.0,0.24157599999999999,0.930426,0.68885
15.0,0.0,1.0,1.0,0.24117,0.9270619999999999,0.685892
15.1,0.0,1.0,1.0,0.248434,0.928674,0.68024
15.2,0.0,1.0,1.0,0.252966,0.927759,0.674793
