DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.488601,0.4956,0.584883,0.611926,0.48860000000000003,$RhoC_amp,25.0,WT,0.027042999999999928,Normal
0.5005970000000001,0.495397,0.595049,0.6211650000000001,0.495198,$RhoC_amp,30.0,WT,0.026116000000000028,Normal
0.49860000000000004,0.492199,0.594242,0.614154,0.497,$RhoC_amp,35.0,WT,0.01991199999999993,Normal
0.493001,0.48900200000000005,0.586088,0.6196860000000001,0.5056,$RhoC_amp,40.0,WT,0.03359800000000002,Normal
0.5092019999999999,0.500001,0.589642,0.620687,0.49940000000000007,$RhoC_amp,45.0,WT,0.03104499999999999,Normal
0.49260200000000004,0.5058,0.593979,0.627242,0.49819899999999995,$RhoC_amp,50.0,WT,0.03326299999999993,Normal
0.5036,0.49640100000000004,0.5851290000000001,0.625949,0.496,$RhoC_amp,55.0,WT,0.040819999999999856,Normal
0.496001,0.5184000000000001,0.6286189999999999,0.530465,0.4992,$RhoC_mod,1.0,WT,-0.09815399999999996,Normal
0.5062,0.5098,0.604679,0.581695,0.497999,$RhoC_mod,2.0,WT,-0.022984000000000004,Normal
0.4876,0.490801,0.592169,0.6007949999999999,0.5032,$RhoC_mod,3.0,WT,0.008625999999999912,Normal
0.4996,0.495801,0.593223,0.6014590000000001,0.497802,$RhoC_mod,4.0,WT,0.008236000000000132,Normal
0.5018,0.48940000000000006,0.583967,0.6099650000000001,0.500598,$RhoC_mod,5.0,WT,0.025998000000000077,Normal
0.49640100000000004,0.497402,0.5756330000000001,0.6305630000000001,0.500001,$RhoC_mod,6.0,WT,0.054930000000000034,Normal
0.5147970000000001,0.5207980000000001,0.58482,0.632845,0.5221979999999999,$RhoC_mod,7.0,WT,0.048024999999999984,Normal
0.506198,0.5074000000000001,0.6710999999999999,0.43746399999999996,0.493801,$RhoC_basal,0.1,WT,-0.23363599999999995,Normal
0.500599,0.4931979999999999,0.607907,0.5685629999999999,0.505998,$RhoC_basal,0.6,WT,-0.039344000000000046,Normal
0.5106,0.499403,0.591871,0.618613,0.49400000000000005,$RhoC_basal,1.1,WT,0.026741999999999932,Normal
0.5016,0.5032,0.5228689999999999,0.7542019999999999,0.49479999999999996,$RhoC_antagonistic,1.0,WT,0.231333,Normal
0.5025999999999999,0.497399,0.566776,0.6563480000000002,0.4942,$RhoC_antagonistic,2.0,WT,0.08957200000000021,Normal
0.5012,0.498202,0.599591,0.596349,0.49580199999999996,$RhoC_antagonistic,3.0,WT,-0.003241999999999967,Normal
0.4953989999999999,0.49580099999999994,0.622446,0.53638,0.48560000000000003,$RhoC_antagonistic,4.0,WT,-0.08606600000000009,Normal
0.511599,0.496401,0.641697,0.519278,0.5042010000000001,$RhoC_antagonistic,5.0,WT,-0.12241899999999994,Normal
0.48059900000000005,0.5073989999999999,0.65521,0.477556,0.5117999999999999,$RhoC_antagonistic,6.0,WT,-0.17765399999999998,Normal
0.4928,0.5110020000000001,0.6718109999999999,0.454756,0.5042,$RhoC_antagonistic,7.0,WT,-0.21705499999999994,Normal
0.5038009999999999,0.492399,0.684433,0.426041,0.490201,$RhoC_antagonistic,8.0,WT,-0.25839199999999996,Failed
0.507797,0.5044,0.6907439999999999,0.41596800000000006,0.501398,$RhoC_antagonistic,9.0,WT,-0.27477599999999985,Failed
0.509399,0.49779899999999994,0.690695,0.40190800000000004,0.498,$RhoC_antagonistic,10.0,WT,-0.2887869999999999,Failed
0.49919900000000006,0.4948000000000001,0.7021759999999999,0.384387,0.487799,$RhoC_antagonistic,11.0,WT,-0.31778899999999993,Failed
0.5028,0.5108,0.705654,0.376251,0.5088020000000001,$RhoC_antagonistic,12.0,WT,-0.329403,Failed
0.48260000000000003,0.5018,0.717068,0.356337,0.505,$RhoC_antagonistic,13.0,WT,-0.360731,Failed
0.4904,0.5024010000000001,0.733887,0.343812,0.495201,$RhoC_antagonistic,14.0,WT,-0.39007499999999995,Failed
0.49719899999999995,0.49099999999999994,0.5895659999999999,0.615884,0.503199,$RhoC_decay,0.05,WT,0.026318000000000064,Normal
0.4912000000000001,0.503402,0.5880540000000001,0.60135,0.504798,$RhoC_decay,0.15000000000000002,WT,0.013295999999999975,Normal
0.5036,0.5002,0.5904050000000001,0.586814,0.502001,$RhoC_decay,0.25000000000000006,WT,-0.003591000000000122,Normal
0.5018,0.49660000000000004,0.600858,0.575226,0.5002,$RhoC_decay,0.3500000000000001,WT,-0.025631999999999988,Normal
0.48799899999999996,0.4948,0.600075,0.5730399999999999,0.5003979999999999,$RhoC_decay,0.45000000000000007,WT,-0.027035000000000142,Normal
0.49839900000000004,0.498201,0.602822,0.557089,0.49659999999999993,$RhoC_decay,0.55,WT,-0.045733000000000024,Normal
0.49899899999999997,0.510599,0.6054620000000001,0.550759,0.513599,$RhoC_decay,0.6500000000000001,WT,-0.05470300000000006,Normal
0.500399,0.494399,0.609448,0.5289159999999999,0.4966,$RhoC_decay,0.7500000000000001,WT,-0.08053200000000005,Normal
0.5070020000000001,0.49119899999999994,0.606797,0.5353889999999999,0.500599,$RhoC_decay,0.8500000000000002,WT,-0.07140800000000014,Normal
