DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.5058,0.489,0.740747,0.365603,0.4786,2.0,9.0,WT,Competition_Landscape,-0.37514400000000003,Failed
0.503601,0.4854,0.751021,0.361842,0.498,2.0,10.0,WT,Competition_Landscape,-0.38917900000000005,Failed
0.503397,0.508198,0.7433540000000001,0.35472,0.493799,2.0,11.0,WT,Competition_Landscape,-0.3886340000000001,Failed
0.49640100000000004,0.5020000000000001,0.7570600000000002,0.339796,0.4978000000000001,2.0,12.0,WT,Competition_Landscape,-0.4172640000000002,Failed
0.514399,0.5060009999999999,0.774076,0.32267,0.4962,2.0,13.0,WT,Competition_Landscape,-0.451406,Failed
0.5005989999999999,0.5039990000000001,0.770353,0.30737300000000006,0.49139799999999995,2.0,14.0,WT,Competition_Landscape,-0.4629799999999999,Failed
0.48799899999999996,0.48840000000000006,0.5082319999999999,0.753817,0.481399,3.0,1.0,WT,Competition_Landscape,0.24558500000000005,Normal
0.506199,0.5051990000000001,0.571035,0.668642,0.49779999999999996,3.0,2.0,WT,Competition_Landscape,0.097607,Normal
0.5068,0.49779999999999996,0.6002550000000001,0.594366,0.5024,3.0,3.0,WT,Competition_Landscape,-0.005889000000000144,Normal
0.500601,0.5018009999999999,0.6197710000000001,0.537538,0.504201,3.0,4.0,WT,Competition_Landscape,-0.08223300000000011,Normal
0.502,0.507601,0.6431300000000001,0.502993,0.48300199999999993,3.0,5.0,WT,Competition_Landscape,-0.14013700000000007,Normal
0.49600000000000005,0.508599,0.658355,0.47799400000000003,0.49419900000000005,3.0,6.0,WT,Competition_Landscape,-0.180361,Normal
0.49880199999999997,0.49159900000000006,0.6766120000000001,0.45175200000000004,0.511,3.0,7.0,WT,Competition_Landscape,-0.22486000000000006,Normal
0.49820000000000003,0.49360100000000007,0.677482,0.439536,0.503602,3.0,8.0,WT,Competition_Landscape,-0.23794600000000005,Normal
0.5006,0.501199,0.6967780000000001,0.405129,0.49520000000000003,3.0,9.0,WT,Competition_Landscape,-0.2916490000000001,Failed
0.504,0.504401,0.705739,0.3967239999999999,0.497802,3.0,10.0,WT,Competition_Landscape,-0.3090150000000001,Failed
0.504001,0.496201,0.7053900000000001,0.38421700000000003,0.502001,3.0,11.0,WT,Competition_Landscape,-0.32117300000000004,Failed
0.49320100000000006,0.48420100000000005,0.711483,0.3657210000000001,0.501601,3.0,12.0,WT,Competition_Landscape,-0.3457619999999999,Failed
0.5028,0.4935999999999999,0.727423,0.3512,0.49759900000000007,3.0,13.0,WT,Competition_Landscape,-0.37622300000000003,Failed
0.49820200000000003,0.4954,0.7256749999999998,0.343095,0.4926,3.0,14.0,WT,Competition_Landscape,-0.38257999999999986,Failed
0.5200009999999999,0.504201,0.47914900000000005,0.766051,0.49879999999999997,4.0,1.0,WT,Competition_Landscape,0.286902,Hyper
0.5013989999999999,0.5008,0.513692,0.676557,0.49760000000000004,4.0,2.0,WT,Competition_Landscape,0.16286499999999993,Normal
0.49799899999999997,0.501601,0.551968,0.620396,0.49799899999999997,4.0,3.0,WT,Competition_Landscape,0.06842799999999993,Normal
0.488199,0.494999,0.5737490000000001,0.576916,0.506001,4.0,4.0,WT,Competition_Landscape,0.00316699999999992,Normal
0.5051990000000001,0.4962,0.5969580000000002,0.540431,0.49060000000000004,4.0,5.0,WT,Competition_Landscape,-0.056527000000000216,Normal
0.5205970000000001,0.5139980000000001,0.6164160000000001,0.5152410000000001,0.515199,4.0,6.0,WT,Competition_Landscape,-0.10117500000000001,Normal
0.504001,0.496401,0.629425,0.4748650000000001,0.49980100000000005,4.0,7.0,WT,Competition_Landscape,-0.15455999999999992,Normal
0.502201,0.49240000000000006,0.63129,0.478462,0.504,4.0,8.0,WT,Competition_Landscape,-0.15282800000000002,Normal
0.493601,0.49280100000000004,0.649009,0.439998,0.4934,4.0,9.0,WT,Competition_Landscape,-0.20901099999999995,Normal
0.5046,0.499999,0.6647529999999999,0.427522,0.509199,4.0,10.0,WT,Competition_Landscape,-0.23723099999999991,Normal
0.5069999999999999,0.5082,0.6650139999999999,0.4123,0.490599,4.0,11.0,WT,Competition_Landscape,-0.2527139999999999,Failed
