DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.506001,0.5079999999999999,0.351501,0.801972,0.5033989999999999,8.0,1.0,WT,Competition_Landscape,0.450471,Hyper
0.5063989999999999,0.5058,0.399653,0.7291059999999999,0.497198,8.0,2.0,WT,Competition_Landscape,0.32945299999999994,Hyper
0.495799,0.491799,0.43079200000000006,0.679663,0.502599,8.0,3.0,WT,Competition_Landscape,0.24887099999999995,Normal
0.506,0.505999,0.460603,0.6383380000000001,0.5056,8.0,4.0,WT,Competition_Landscape,0.1777350000000001,Normal
0.5085999999999999,0.505801,0.48481699999999994,0.6083729999999999,0.4996,8.0,5.0,WT,Competition_Landscape,0.123556,Normal
0.49259899999999995,0.49139900000000003,0.5012589999999999,0.5830249999999999,0.4971999999999999,8.0,6.0,WT,Competition_Landscape,0.081766,Normal
0.495798,0.5071969999999999,0.5124810000000001,0.5605870000000001,0.49399999999999994,8.0,7.0,WT,Competition_Landscape,0.04810599999999998,Normal
0.4894,0.4972,0.5318820000000001,0.539887,0.504601,8.0,8.0,WT,Competition_Landscape,0.008004999999999929,Normal
0.4889999999999999,0.48499899999999996,0.532256,0.5307909999999999,0.5057989999999999,8.0,9.0,WT,Competition_Landscape,-0.0014650000000000496,Normal
0.5038,0.5032,0.5588090000000001,0.50842,0.5039990000000001,8.0,10.0,WT,Competition_Landscape,-0.05038900000000013,Normal
0.492401,0.496001,0.574056,0.48085399999999995,0.509401,8.0,11.0,WT,Competition_Landscape,-0.09320200000000006,Normal
0.5001990000000001,0.508799,0.5782469999999998,0.47449300000000005,0.5030000000000001,8.0,12.0,WT,Competition_Landscape,-0.10375399999999979,Normal
0.506601,0.49340100000000003,0.5928319999999999,0.454108,0.5058,8.0,13.0,WT,Competition_Landscape,-0.1387239999999999,Normal
0.5084000000000001,0.5022,0.602563,0.44155700000000003,0.49740100000000004,8.0,14.0,WT,Competition_Landscape,-0.16100599999999993,Normal
0.49640100000000004,0.503401,0.336019,0.7957460000000001,0.48900099999999996,9.0,1.0,WT,Competition_Landscape,0.45972700000000005,Hyper
0.5102000000000001,0.49419900000000005,0.38584300000000005,0.728226,0.502599,9.0,2.0,WT,Competition_Landscape,0.342383,Hyper
0.504999,0.504399,0.41329599999999994,0.697753,0.49739900000000004,9.0,3.0,WT,Competition_Landscape,0.284457,Hyper
0.5028,0.484801,0.439448,0.652583,0.487198,9.0,4.0,WT,Competition_Landscape,0.21313500000000002,Normal
0.512001,0.500802,0.472932,0.6137380000000001,0.495402,9.0,5.0,WT,Competition_Landscape,0.1408060000000001,Normal
0.5138,0.5028,0.4908390000000001,0.584498,0.49760000000000004,9.0,6.0,WT,Competition_Landscape,0.09365899999999988,Normal
0.500999,0.49939900000000004,0.506085,0.5637019999999999,0.49019999999999997,9.0,7.0,WT,Competition_Landscape,0.05761699999999992,Normal
0.508401,0.496199,0.509241,0.553547,0.49720100000000006,9.0,8.0,WT,Competition_Landscape,0.044305999999999957,Normal
0.491599,0.508,0.530071,0.531938,0.506601,9.0,9.0,WT,Competition_Landscape,0.001867000000000063,Normal
0.49119899999999994,0.494798,0.539048,0.505907,0.49560099999999996,9.0,10.0,WT,Competition_Landscape,-0.033140999999999976,Normal
0.5104000000000001,0.49899800000000005,0.5465990000000001,0.504913,0.5112,9.0,11.0,WT,Competition_Landscape,-0.04168600000000011,Normal
0.4886000000000001,0.5039990000000001,0.561508,0.48478600000000005,0.49640000000000006,9.0,12.0,WT,Competition_Landscape,-0.07672199999999996,Normal
0.5022,0.49940000000000007,0.569474,0.47224099999999997,0.500599,9.0,13.0,WT,Competition_Landscape,-0.09723300000000007,Normal
0.48860099999999995,0.515202,0.588475,0.453735,0.501401,9.0,14.0,WT,Competition_Landscape,-0.13473999999999997,Normal
0.5086,0.49260000000000004,0.325537,0.801689,0.49100000000000005,10.0,1.0,WT,Competition_Landscape,0.47615199999999996,Hyper
0.49919899999999995,0.5036010000000001,0.370249,0.737886,0.5005990000000001,10.0,2.0,WT,Competition_Landscape,0.36763700000000005,Hyper
0.495598,0.499399,0.38725699999999996,0.700689,0.5103989999999999,10.0,3.0,WT,Competition_Landscape,0.31343200000000004,Hyper
0.49660100000000007,0.49420200000000003,0.41740000000000005,0.6638999999999999,0.49460100000000007,10.0,4.0,WT,Competition_Landscape,0.24649999999999989,Normal
0.48539899999999997,0.5125979999999999,0.450309,0.635888,0.497999,10.0,5.0,WT,Competition_Landscape,0.185579,Normal
0.4853989999999999,0.49179900000000004,0.45574400000000004,0.609114,0.5001990000000001,10.0,6.0,WT,Competition_Landscape,0.15337,Normal
0.5099990000000001,0.5,0.4807,0.5930359999999999,0.49519799999999997,10.0,7.0,WT,Competition_Landscape,0.11233599999999988,Normal
0.5088010000000001,0.511001,0.497598,0.5662039999999999,0.502003,10.0,8.0,WT,Competition_Landscape,0.06860599999999994,Normal
0.489399,0.5002,0.516973,0.537655,0.49799999999999994,10.0,9.0,WT,Competition_Landscape,0.020681999999999978,Normal
0.5114000000000001,0.4978,0.543865,0.503071,0.493599,10.0,10.0,WT,Competition_Landscape,-0.040794,Normal
0.501799,0.496,0.5390820000000001,0.49998000000000004,0.487399,10.0,11.0,WT,Competition_Landscape,-0.039102000000000026,Normal
0.493999,0.4962,0.551898,0.49292099999999994,0.49739999999999995,10.0,12.0,WT,Competition_Landscape,-0.05897700000000006,Normal
0.511997,0.496598,0.56095,0.47990700000000003,0.501398,10.0,13.0,WT,Competition_Landscape,-0.08104299999999992,Normal
0.496601,0.5104000000000001,0.5741769999999999,0.46341,0.506401,10.0,14.0,WT,Competition_Landscape,-0.11076699999999995,Normal
0.493801,0.5072009999999999,0.29928000000000005,0.813354,0.49720000000000003,11.0,1.0,WT,Competition_Landscape,0.5140739999999999,Hyper
0.4988,0.4900009999999999,0.357384,0.7506729999999999,0.5117999999999999,11.0,2.0,WT,Competition_Landscape,0.39328899999999994,Hyper
0.506401,0.49300200000000005,0.37651999999999997,0.7087330000000002,0.496001,11.0,3.0,WT,Competition_Landscape,0.3322130000000002,Hyper
0.5056,0.49980100000000005,0.417612,0.6585610000000001,0.49199800000000005,11.0,4.0,WT,Competition_Landscape,0.24094900000000008,Normal
