DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.507798,0.5,0.593932,0.608966,0.5055999999999999,$RhoC_amp,15.0,WT,0.015033999999999992,Normal
0.49440100000000003,0.507201,0.5896159999999999,0.6166379999999999,0.502,$RhoC_amp,20.0,WT,0.02702199999999999,Normal
0.49319999999999997,0.5095999999999999,0.592323,0.6126959999999999,0.487199,$RhoC_amp,25.0,WT,0.020372999999999863,Normal
0.49439999999999995,0.499399,0.5972550000000001,0.614802,0.5061979999999999,$RhoC_amp,30.0,WT,0.017546999999999868,Normal
0.493197,0.5073989999999999,0.581239,0.6182079999999999,0.490798,$RhoC_amp,35.0,WT,0.03696899999999992,Normal
0.49739900000000004,0.496398,0.58622,0.62736,0.5113989999999999,$RhoC_amp,40.0,WT,0.041140000000000065,Normal
0.49260000000000004,0.49760000000000004,0.589318,0.6115010000000001,0.49660000000000004,$RhoC_amp,45.0,WT,0.022183000000000064,Normal
0.49319899999999994,0.501401,0.572038,0.6249339999999999,0.512799,$RhoC_amp,50.0,WT,0.05289599999999983,Normal
0.49340100000000003,0.507,0.5866810000000001,0.627272,0.5154,$RhoC_amp,55.0,WT,0.04059099999999993,Normal
0.499201,0.504001,0.6277399999999999,0.527763,0.489,$RhoC_mod,1.0,WT,-0.09997699999999987,Normal
0.48399900000000007,0.5054000000000001,0.6061880000000001,0.5802459999999999,0.507199,$RhoC_mod,2.0,WT,-0.02594200000000013,Normal
0.49639999999999995,0.4941979999999999,0.588247,0.603147,0.500399,$RhoC_mod,3.0,WT,0.014900000000000024,Normal
0.499001,0.499599,0.5712710000000001,0.629335,0.513198,$RhoC_mod,4.0,WT,0.058063999999999893,Normal
0.5140009999999999,0.49499899999999997,0.5966619999999999,0.6154660000000001,0.49900100000000003,$RhoC_mod,5.0,WT,0.018804000000000154,Normal
0.507001,0.4894,0.592907,0.626146,0.502001,$RhoC_mod,6.0,WT,0.03323900000000002,Normal
