JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.49999899999999997,0.34085499999999996,0.6508579999999999,0.49479899999999993,$RhoC_amp,35.0,N/A,,DSP,DSP_Sweep,1D,0.310003,Hyper
0.5002,0.32990200000000003,0.661519,0.5092,$RhoC_amp,37.5,N/A,,DSP,DSP_Sweep,1D,0.33161699999999994,Hyper
0.494,0.33585,0.660108,0.514201,$RhoC_amp,40.0,N/A,,DSP,DSP_Sweep,1D,0.32425800000000005,Hyper
0.4914,0.352173,0.6437890000000001,0.4872,$RhoC_amp,42.5,N/A,,DSP,DSP_Sweep,1D,0.29161600000000004,Hyper
0.49939999999999996,0.33724199999999993,0.6692400000000001,0.5018,$RhoC_amp,45.0,N/A,,DSP,DSP_Sweep,1D,0.3319980000000001,Hyper
0.48300000000000004,0.329086,0.6534169999999999,0.5105999999999999,$RhoC_amp,47.5,N/A,,DSP,DSP_Sweep,1D,0.3243309999999999,Hyper
0.504999,0.332449,0.724,0.49099899999999996,$RhoC_decay,0.0,N/A,,DSP,DSP_Sweep,1D,0.391551,Hyper
0.49880100000000005,0.32840899999999995,0.6885749999999999,0.5016,$RhoC_decay,0.1,N/A,,DSP,DSP_Sweep,1D,0.360166,Hyper
0.498,0.34719,0.632185,0.4946,$RhoC_decay,0.2,N/A,,DSP,DSP_Sweep,1D,0.284995,Hyper
0.502,0.342719,0.618501,0.491,$RhoC_decay,0.30000000000000004,N/A,,DSP,DSP_Sweep,1D,0.27578199999999997,Hyper
0.5018009999999999,0.36311099999999996,0.5901869999999999,0.5083989999999999,$RhoC_decay,0.4,N/A,,DSP,DSP_Sweep,1D,0.22707599999999994,Normal
0.507601,0.36614199999999997,0.562239,0.518001,$RhoC_decay,0.5,N/A,,DSP,DSP_Sweep,1D,0.19609700000000008,Normal
0.506601,0.37556500000000004,0.5438390000000001,0.5072,$RhoC_decay,0.6000000000000001,N/A,,DSP,DSP_Sweep,1D,0.16827400000000003,Normal
0.510601,0.370649,0.532042,0.49540000000000006,$RhoC_decay,0.7000000000000001,N/A,,DSP,DSP_Sweep,1D,0.161393,Normal
0.5074,0.36678900000000003,0.503857,0.48760000000000003,$RhoC_decay,0.8,N/A,,DSP,DSP_Sweep,1D,0.13706799999999997,Normal
0.49560000000000004,0.379712,0.490629,0.5012,$RhoC_decay,0.9,N/A,,DSP,DSP_Sweep,1D,0.11091699999999999,Normal
0.490399,0.379908,0.480313,0.5008,$RhoC_decay,1.0,N/A,,DSP,DSP_Sweep,1D,0.10040499999999997,Normal
