,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
2.9,0.019583,0.067654,0.0,0.0,0.0,0.0,0.450621,0.141418,0.163342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086379,0.044208,0.026794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.019494,0.067796,0.0,0.0,0.0,0.0,0.452149,0.142532,0.160174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084824,0.044905,0.028128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.019818,0.067113,0.0,0.0,0.0,0.0,0.455272,0.143627,0.159704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081777,0.043876,0.028814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.020973,0.066055,0.0,0.0,0.0,0.0,0.456835,0.142824,0.16094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080958,0.042247,0.02917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.020568,0.065817,0.0,0.0,0.0,0.0,0.455941,0.14101,0.163713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082246,0.042009,0.028696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.019943,0.067183,0.0,0.0,0.0,0.0,0.452771,0.139104,0.166903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083686,0.042466,0.027944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.018876,0.068528,0.0,0.0,0.0,0.0,0.452373,0.14211,0.164593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083482,0.042521,0.027517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.019102,0.069101,0.0,0.0,0.0,0.0,0.453831,0.144717,0.159996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084206,0.042792,0.026255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.018875,0.072234,0.0,0.0,0.0,0.0,0.45344,0.144005,0.159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084664,0.042585,0.025009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.02016,0.071844,0.0,0.0,0.0,0.0,0.453111,0.144568,0.160536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084114,0.041175,0.024492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.021025,0.07195,0.0,0.0,0.0,0.0,0.451837,0.146325,0.15909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084141,0.040832,0.024799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
