step,time,perturbation,id,position,tensile_load,shear_load,DSP,TJP1,JCAD,rhoa,rhoc,classification
1499,149.9,TJP1_KO,15,"(np.float64(5.72), np.float64(7.27))",0.0,0.0,0.39476945138927483,0.0,0.536,0.6827723915279245,0.24477687343741317,lateral
1499,149.9,JCAD_KO,0,"(np.float64(0.0), np.float64(6.99))",0.0,0.0,0.3924956412403895,0.32898121295382793,0.0,0.48338351219905157,0.45273793854229155,lateral
1499,149.9,JCAD_KO,1,"(np.float64(-6.03), np.float64(6.72))",0.0,0.0,0.38785767906838703,0.32580462415319966,0.0,0.4824428836361063,0.45284438633480684,lateral
1499,149.9,JCAD_KO,2,"(np.float64(-11.89), np.float64(5.83))",0.0,0.0,0.49071738294203365,0.40179769892323175,0.0,0.4949277527176189,0.4637413884051531,polar
1499,149.9,JCAD_KO,3,"(np.float64(-17.14), np.float64(3.94))",0.0,0.0,0.5506036216363177,0.4553388919017665,0.0,0.5004800572990515,0.4687604343249031,polar
1499,149.9,JCAD_KO,4,"(np.float64(-20.25), np.float64(-0.0))",0.0,0.0,0.582449621060448,0.4893200340710329,0.0,0.5027715201235656,0.472531292813464,polar
1499,149.9,JCAD_KO,5,"(np.float64(-17.14), np.float64(-3.94))",0.0,0.0,0.5506036216363177,0.4553388919017665,0.0,0.5004800572990515,0.4687604343249031,polar
1499,149.9,JCAD_KO,6,"(np.float64(-11.89), np.float64(-5.83))",0.0,0.0,0.49071738294203354,0.40179769892323175,0.0,0.4949277527176189,0.46374138840515317,polar
1499,149.9,JCAD_KO,7,"(np.float64(-6.03), np.float64(-6.72))",0.0,0.0,0.387857679068387,0.32580462415319955,0.0,0.4824428836361063,0.4528443863348068,lateral
1499,149.9,JCAD_KO,8,"(np.float64(0.0), np.float64(-6.99))",0.0,0.0,0.39249564124038944,0.3289812129538279,0.0,0.48338351219905157,0.4527379385422915,lateral
1499,149.9,JCAD_KO,9,"(np.float64(6.03), np.float64(-6.72))",0.0,0.0,0.38785767906838714,0.3258046241531998,0.0,0.4824428836361063,0.4528443863348067,lateral
1499,149.9,JCAD_KO,10,"(np.float64(11.89), np.float64(-5.83))",0.0,0.0,0.49071738294203365,0.40179769892323175,0.0,0.4949277527176189,0.4637413884051531,polar
1499,149.9,JCAD_KO,11,"(np.float64(17.14), np.float64(-3.94))",0.0,0.0,0.5506036216363177,0.45533889190176635,0.0,0.5004800572990515,0.46876043432490305,polar
1499,149.9,JCAD_KO,12,"(np.float64(20.25), np.float64(-0.0))",0.0,0.0,0.582449621060448,0.4893200340710329,0.0,0.5027715201235656,0.472531292813464,polar
1499,149.9,JCAD_KO,13,"(np.float64(17.14), np.float64(3.94))",0.0,0.0,0.5506036216363177,0.45533889190176635,0.0,0.5004800572990515,0.46876043432490305,polar
1499,149.9,JCAD_KO,14,"(np.float64(11.89), np.float64(5.83))",0.0,0.0,0.49071738294203354,0.40179769892323175,0.0,0.4949277527176189,0.46374138840515317,polar
1499,149.9,JCAD_KO,15,"(np.float64(6.03), np.float64(6.72))",0.0,0.0,0.387857679068387,0.32580462415319955,0.0,0.4824428836361063,0.4528443863348068,lateral
1499,149.9,DSP_JCAD_DKO,0,"(np.float64(-0.0), np.float64(6.49))",0.0,0.0,0.0,0.325632057892484,0.0,0.32338622957935287,0.5465993805518318,lateral
1499,149.9,DSP_JCAD_DKO,1,"(np.float64(-6.32), np.float64(6.28))",0.0,0.0,0.0,0.3226285524389718,0.0,0.3239268605609851,0.545533136115835,lateral
1499,149.9,DSP_JCAD_DKO,2,"(np.float64(-12.5), np.float64(5.55))",0.0,0.0,0.0,0.4102520634232819,0.0,0.3085647111207405,0.5752554539531219,polar
1499,149.9,DSP_JCAD_DKO,3,"(np.float64(-18.15), np.float64(3.86))",0.0,0.0,0.0,0.4715369340136604,0.0,0.29998482923808756,0.5887381254830053,polar
